indicator_basename,example_string,matched_files,count_files,rule_names,guids,has_rmm_guid
jato.v5.ui.tutorial.exe,%programfiles%\JATO\V5\JATO.V5.UI.Tutorial.exe,asr_lua_23.bin,1,Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
java.exe,%programfiles%\Ricoh\Streamline NX\PC Client\jre\bin\java.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
jedox.browsersubprocess.exe,%programfiles%\Jedox\Jedox Suite\xladdin\Jedox.BrowserSubprocess.exe,asr_lua_23.bin,1,Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
justpdf5creator.exe,%programfiles(x86)%\JustSystems\JustPdf5\Creator\JustPdf5Creator.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
knowbe4.secondchance.userdialog.exe,%programfiles(x86)%\KnowBe4\Second Chance\knowbe4.secondchance.userdialog.exe,asr_lua_22.bin,1,Block Adobe Reader from creating child processes,,no
laserfiche.officemonitor.exe,%programfiles%\Laserfiche\Client\LFOffice64\Laserfiche.OfficeMonitor.exe,asr_lua_24.bin,1,Block Office communication application from creating child processes,,no
lcd-cs.exe,%programfiles%\Acer DT\LCD-CS.exe,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
leappstore,%programfiles(x86)%\Lenovo\LeAppStore,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
legionzone,%programfiles(x86)%\Lenovo\LegionZone,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovo,%systemroot%\System32\drivers\Lenovo,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovo diagnostics evolution,%programfiles%\Lenovo\Lenovo Diagnostics Evolution,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovo diagnostics tool,%programfiles%\Lenovo\Lenovo Diagnostics Tool,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovo home,%programfiles(x86)%\Lenovo\Lenovo Home,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovo solution center,%programfiles%\Lenovo\Lenovo Solution Center,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovodiagnosticscli.exe,%programfiles(x86)%\Lenovo\ldiagx64\LenovoDiagnosticsCLI.exe,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lenovovantage-(lenovoboostsystemaddin).exe,%programfiles(x86)%\Lenovo\VantageService\*\LenovoVantage-(LenovoBoostSystemAddin).exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
liveupdatehub.exe,%programfiles(x86)%\empower\charts\LiveUpdateHub.exe,asr_lua_20.bin,1,Block Office applications from injecting code into other processes,,no
llm-server.exe,%programfiles%\ASUS\llm-server\llm-server.exe,asr_lua_5.bin,1,Controlled folder access,d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lmhost.exe,%programfiles%\HEAT Software\EMSSAgent\*\lmhost.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
localservicelauncher.exe,%programfiles%\MacroView\DMF\LocalServiceLauncher.exe,asr_lua_24.bin,1,Block Office communication application from creating child processes,,no
logisynchandler.exe,%programfiles(x86)%\Logitech\LogiSync\sync-agent\LogiSyncHandler.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
logonui.exe,%windir%\system32\LogonUI.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lpksetup.exe,%windir%\system32\lpksetup.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lsass.exe,%windir%\system32\lsass.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lsiagent.exe,%programfiles(x86)%\SysTrack\LsiAgent\LsiAgent.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
lsimods64.exe,%programfiles(x86)%\SysTrack\LsiAgent\LsiMods64.exe,asr_lua_21.bin,1,Block credential stealing from the Windows local security authority subsystem (lsass.exe),d7c7c745-195f-4223-9c7a-99fb420fd000,yes
